program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
063	0x36ecdc	ready_for_mba_reduction	463	143	exact_instruction	0x36eefe	165	fallthrough	+0x2	next = 165@0x9a24c:1, ip += +0x2; dispatch_model=static_100; state=state_add_const	0xe8 0x1 0xa5 0x0 0xbd 0x0	0x1e8	0xa501	0xa5	0xbd	0x95626080	0xe37ca780		165	12	1	concrete_successor_edge	
063	0x36eefe	ready_for_mba_reduction	464	7	long_branch_forward	0x36ef46	171	decoded_control	+0x30	next = table[171], ip += 0x30	0x12 0x0 0xc8 0xa 0x3a 0x30	0x12	0xc800	0xac8	0x303a	0xe73b5c3a	0x40500044		18	276	23	concrete_successor_edge	
063	0x36ef2c	ready_for_mba_reduction	465	6	long_branch_backedge	0x36eefe	165	decoded_control	-0x40	next = table[165], ip -= 0x40	0x17 0x9a 0x6 0x37 0xfd 0x4d	0x9a17	0x69a	0x3706	0x4dfd	0x5632a04d	0xe1ddcb7c		66	264	22	concrete_successor_edge	
063	0x36ef46	ready_for_mba_reduction	466	134	exact_instruction	0x36f14a	165	fallthrough	+0x2	next = 165@0x9a24c:1, ip += +0x2; dispatch_model=static_100; state=state_mixed	0xfe 0x0 0xe8 0x1 0x42 0x47	0xfe	0xe800	0x1e8	0x4742	0xe50599f5	0x942ab014		254	12	1	concrete_successor_edge	
063	0x36f14a	ready_for_mba_reduction	467	190	long_branch_forward	0x36f6af	165	decoded_control	+0x288	next = table[165], ip += 0x288	0x2 0x1 0x37 0xb6 0xd6 0x75	0x102	0x3701	0xb637	0x75d6	0x20450380	0x8e8d264		258	72	6	concrete_successor_edge	
063	0x36f438	ready_for_mba_reduction	468	163	long_branch_backedge	0x36f14a	165	decoded_control	-0x55d	next = table[165], ip -= 0x55d	0xe8 0x1 0x2e 0x8a 0x99 0x8f	0x1e8	0x2e01	0x8a2e	0x8f99	0x8410188	0xcb0d4e12		268	60	5	concrete_successor_edge	
063	0x36f6af	ready_for_mba_reduction	469	96	exact_instruction	0x36f820	165	fallthrough	+0x2	next = 165@0x9a24c:1, ip += +0x2; dispatch_model=static_100	0x5b 0x1 0x81 0x39 0x31 0x9	0x15b	0x8101	0x3981	0x931	0x813bbb95	0x9156e97		347	12	1	concrete_successor_edge	
063	0x36f820	ready_for_mba_reduction	470	20	long_branch_forward	0x36faf6	171	decoded_control	+0x28b	next = table[171], ip += 0x28b	0xc7 0x0 0x6f 0x45 0x3a 0x34	0xc7	0x6f00	0x456f	0x343a	0xbd39f3b5	0xf3eeef8d		199	36	3	concrete_successor_edge	
063	0x36f87c	ready_for_mba_reduction	471	164	long_branch_backedge	0x36f820	165	decoded_control	-0x2ce	next = table[165], ip -= 0x2ce	0x46 0x4f 0x7d 0x24 0xa9 0x7b	0x4f46	0x7d4f	0x247d	0x7ba9	0xf6f61332	0x73e5c887		91	24	2	concrete_successor_edge	
063	0x36faf6	ready_for_mba_reduction	472	116	exact_instruction	0x36fca8	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	0xbd 0x0 0x68 0x0 0xdc 0xef	0xbd	0x6800	0x68	0xefdc	0x79b325e5	0x3d4c18b5		189	12	1	concrete_successor_edge	
